school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Predicted_Class,Confidence,Predicted_Label,Recommendation
MS,M,18,R,LE3,T,3,2,services,other,course,mother,3,1,0,no,no,no,no,no,yes,yes,no,4,4,1,3,4,5,0,11,12,1,1,0.86549616,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
MS,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no,no,yes,yes,no,yes,yes,no,3,2,4,1,4,2,4,15,14,1,2,0.7951536,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,F,17,R,LE3,T,2,2,services,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,2,2,3,3,11,11,1,1,0.78293145,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,0,0,0.61595166,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,1,0,0.5489146,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,2,2,0.9038841,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,0,0,0.7249459,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12,10,13,1,1,0.7895199,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,M,17,U,GT3,T,1,1,other,other,reputation,father,1,2,0,no,no,yes,no,no,yes,yes,no,4,3,3,1,2,4,2,12,10,1,1,0.7052953,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,1,1,0.6380625,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,2,2,0.9140965,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,1,1,0.5413331,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,M,17,U,GT3,T,3,3,health,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,5,4,14,12,1,1,0.6955738,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,1,0,0.60095465,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,16,U,GT3,T,3,4,other,other,course,father,3,1,2,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,2,0,6,5,0,0,0.8755342,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,16,U,GT3,T,2,1,other,other,course,mother,3,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,4,6,18,18,2,2,0.9240726,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,F,18,U,LE3,T,3,3,services,services,home,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,1,1,7,16,15,2,2,0.867311,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0,10,0,0,0,0.7994462,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,17,U,GT3,T,3,1,services,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,4,4,3,4,5,2,9,9,1,0,0.5673317,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,17,R,LE3,T,4,4,services,other,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,no,5,2,1,1,2,3,12,8,10,1,0,0.5414132,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,18,U,GT3,T,2,2,other,other,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,5,5,4,0,12,13,1,1,0.78956383,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,18,R,GT3,T,3,1,other,other,reputation,mother,1,2,1,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,1,4,16,9,8,0,0,0.7146051,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,17,U,LE3,T,1,1,health,other,course,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,2,5,2,7,9,0,0,0.66444004,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,16,R,GT3,T,3,3,services,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,3,4,5,8,8,9,1,0,0.57343894,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,19,U,GT3,T,3,3,other,services,home,other,1,2,2,no,yes,yes,yes,yes,yes,yes,no,4,3,5,3,3,5,15,9,9,0,0,0.702672,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,2,2,0.8900183,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,1,1,0.57191175,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,17,U,GT3,T,2,3,at_home,other,home,father,2,1,0,no,yes,yes,no,yes,yes,no,no,3,3,3,1,4,3,3,7,7,0,0,0.6547681,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,18,U,LE3,T,4,3,teacher,services,course,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,4,2,3,1,2,1,8,10,11,1,1,0.5333579,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,M,19,U,GT3,T,4,4,teacher,services,reputation,other,2,1,1,no,yes,yes,no,yes,yes,yes,yes,4,3,4,1,1,4,38,8,9,0,0,0.778298,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,2,2,0.92893326,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,2,2,0.7582923,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
MS,M,18,U,LE3,T,1,1,other,services,home,father,2,1,0,no,no,no,no,no,yes,yes,yes,3,3,2,1,2,3,4,10,10,1,1,0.6391648,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,17,U,LE3,T,0,2,at_home,at_home,home,father,2,3,0,no,no,no,no,yes,yes,yes,no,3,3,3,2,3,2,0,16,15,2,2,0.78135836,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,0,0,0.76096475,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,16,U,GT3,T,4,4,teacher,services,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,2,1,1,5,0,13,13,1,1,0.539001,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,17,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,3,3,10,16,15,2,2,0.87639236,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,12,13,1,1,0.8699951,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,1,1,0.82826006,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,19,U,LE3,T,1,1,at_home,other,reputation,other,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,3,1,3,3,18,12,10,1,1,0.589711,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,16,R,GT3,T,2,2,services,services,reputation,mother,2,4,0,no,yes,yes,yes,no,yes,yes,no,5,3,5,1,1,5,6,10,10,1,1,0.49758226,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,18,U,LE3,T,2,2,other,other,home,other,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,3,1,1,2,0,8,8,0,0,0.6958897,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,17,U,LE3,T,2,2,services,services,course,father,1,4,0,no,no,yes,yes,yes,yes,yes,yes,3,4,1,1,1,2,0,10,9,0,0,0.5984928,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,2,2,0.80654544,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,0,0,0.76578,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
MS,F,19,U,LE3,T,3,2,services,services,home,other,2,2,2,no,no,no,yes,yes,yes,no,yes,3,2,2,1,1,3,4,7,7,0,0,0.8601203,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,no,yes,no,no,yes,yes,yes,no,4,2,4,2,3,2,24,18,18,2,2,0.89604074,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,17,U,LE3,T,4,4,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,3,5,4,5,3,13,12,12,1,1,0.8743812,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
MS,M,19,U,LE3,T,1,1,other,at_home,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,3,3,3,5,5,8,9,0,0,0.5578106,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,1,0,0.5228972,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,0,0,0.6861184,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,1,2,0.69080234,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,F,17,U,LE3,T,2,2,services,other,course,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,12,12,1,1,0.70888317,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,1,1,0.60092,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,18,U,GT3,T,3,3,services,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,4,1,1,4,0,7,0,0,0,0.92499495,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,18,R,LE3,T,3,2,services,other,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,1,4,8,14,13,1,1,0.5126903,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,0,0,0.7818525,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,1,0,0.56088746,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
MS,M,17,R,GT3,T,4,3,services,other,home,mother,2,2,0,no,yes,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,4,13,11,1,1,0.8253895,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,9,11,1,1,0.59854096,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,2,2,0.9097741,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,18,R,LE3,T,3,3,other,services,course,mother,1,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,5,8,3,5,0,0,0.89013416,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,18,R,LE3,T,1,1,at_home,other,reputation,mother,2,4,0,no,yes,yes,yes,yes,yes,no,no,5,2,2,1,1,3,1,12,12,1,1,0.8611714,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,0,0,0.86412907,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,1,0,0.5636824,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,3,3,3,1,3,3,6,8,7,0,0,0.8174578,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,2,3,2,0,7,8,0,0,0.62886214,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
MS,M,17,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,no,no,yes,yes,no,2,4,5,3,4,2,3,14,16,2,2,0.8429669,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,2,2,0.91432273,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,F,17,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,no,yes,yes,no,no,yes,yes,yes,4,3,3,1,2,4,4,14,14,1,2,0.76611876,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,1,1,0.81595486,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,1,0,0.628625,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,18,U,GT3,T,4,3,other,other,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,4,1,1,5,9,9,10,0,0,0.5355336,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,2,2,1,1,3,12,11,9,0,0,0.5286459,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,1,1,0.7553581,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
MS,M,19,R,GT3,T,1,1,other,services,other,mother,2,1,1,no,no,no,no,yes,yes,no,no,4,3,2,1,3,5,0,6,5,0,0,0.8491014,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
MS,F,17,U,LE3,T,4,4,at_home,at_home,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,2,3,4,1,1,1,0,16,15,2,2,0.7970766,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,M,17,U,GT3,T,3,3,services,services,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,2,3,4,12,12,12,1,1,0.8698273,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
MS,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,4,1,1,5,0,10,9,0,0,0.65339106,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
